Created At,Ticket ID,Team,Priority,Resolution Hours,Reopened
2025-01-17,TKT-50117,Platform,Low,31.9,0
2025-01-17,TKT-50118,Billing,Medium,19.7,0
2025-01-17,TKT-50119,Onboarding,Urgent,11.4,0
2025-01-17,TKT-50120,Billing,High,10.8,0
2025-01-17,TKT-50121,Billing,Medium,5.1,0
2025-01-17,TKT-50122,Onboarding,Medium,27.1,0
2025-01-18,TKT-50123,Onboarding,High,6.2,0
2025-01-18,TKT-50124,Billing,Low,21.9,0
2025-01-18,TKT-50125,Billing,High,7.9,0
2025-01-18,TKT-50126,Platform,High,11.4,0
2025-01-18,TKT-50127,Onboarding,Low,12.8,0
2025-01-18,TKT-50128,Data,Low,25.7,0
2025-01-18,TKT-50129,Onboarding,Medium,14.5,0
2025-01-19,TKT-50130,Platform,Medium,7.6,0
2025-01-19,TKT-50131,Platform,High,1.2,0
2025-01-19,TKT-50132,Billing,High,5.8,1
2025-01-19,TKT-50133,Billing,Low,6.4,0
2025-01-19,TKT-50134,Data,Medium,23.7,0
2025-01-19,TKT-50135,Onboarding,Medium,9.2,0
2025-01-20,TKT-50136,Onboarding,Medium,4.3,0
2025-01-20,TKT-50137,Data,Medium,34.1,0
2025-01-20,TKT-50138,Onboarding,Low,10.7,0
2025-01-20,TKT-50139,Billing,Medium,8.5,1
2025-01-20,TKT-50140,Platform,Low,9.4,0
2025-01-20,TKT-50141,Platform,Low,2.3,1
2025-01-20,TKT-50142,Billing,Urgent,6.3,0
2025-01-21,TKT-50143,Billing,Medium,8.2,0
2025-01-21,TKT-50144,Onboarding,Low,43.6,0
2025-01-21,TKT-50145,Billing,Medium,4.4,0
2025-01-21,TKT-50146,Onboarding,Low,13.8,0
2025-01-21,TKT-50147,Platform,Low,26.9,1
2025-01-22,TKT-50148,Data,Low,18.0,0
2025-01-22,TKT-50149,Billing,Medium,7.5,0
2025-01-22,TKT-50150,Billing,Medium,7.1,0
2025-01-22,TKT-50151,Billing,Medium,3.7,0
2025-01-22,TKT-50152,Data,High,3.3,0
2025-01-22,TKT-50153,Billing,Low,11.6,0
2025-01-23,TKT-50154,Onboarding,Low,4.8,0
2025-01-23,TKT-50155,Platform,Medium,16.0,0
2025-01-23,TKT-50156,Billing,Medium,13.1,0
2025-01-23,TKT-50157,Platform,Medium,2.6,1
2025-01-23,TKT-50158,Billing,Medium,20.5,0
2025-01-23,TKT-50159,Billing,Low,5.4,0
2025-01-23,TKT-50160,Onboarding,Low,16.9,0
2025-01-24,TKT-50161,Data,Medium,12.9,0
2025-01-24,TKT-50162,Data,Low,11.6,0
2025-01-24,TKT-50163,Platform,High,11.5,0
2025-01-24,TKT-50164,Onboarding,Medium,8.5,0
2025-01-24,TKT-50165,Billing,Medium,9.7,0
2025-01-24,TKT-50166,Billing,Medium,41.9,0
2025-01-24,TKT-50167,Platform,Low,17.5,0
2025-01-24,TKT-50168,Billing,Urgent,3.5,0
2025-01-25,TKT-50169,Platform,Low,11.6,0
2025-01-25,TKT-50170,Platform,Urgent,18.6,0
2025-01-25,TKT-50171,Data,Low,35.4,0
2025-01-25,TKT-50172,Data,Medium,9.0,1
2025-01-25,TKT-50173,Onboarding,Low,8.7,0
2025-01-25,TKT-50174,Platform,High,4.6,1
2025-01-25,TKT-50175,Data,Low,14.5,0
2025-01-25,TKT-50176,Data,Low,2.7,0
2025-01-25,TKT-50177,Onboarding,Low,13.3,0
2025-01-26,TKT-50178,Onboarding,Low,9.2,0
2025-01-26,TKT-50179,Onboarding,Low,21.4,0
2025-01-26,TKT-50180,Onboarding,Low,10.5,0
2025-01-26,TKT-50181,Platform,Medium,7.3,0
2025-01-26,TKT-50182,Billing,Medium,7.1,0
2025-01-26,TKT-50183,Platform,High,13.1,0
2025-01-26,TKT-50184,Data,Medium,20.0,0
2025-01-27,TKT-50185,Platform,Low,15.1,0
2025-01-27,TKT-50186,Platform,Low,17.1,0
2025-01-27,TKT-50187,Platform,Medium,9.6,0
2025-01-27,TKT-50188,Data,Low,4.7,0
2025-01-27,TKT-50189,Data,Urgent,5.7,0
2025-01-28,TKT-50190,Billing,Low,7.3,0
2025-01-28,TKT-50191,Onboarding,Low,19.2,0
2025-01-28,TKT-50192,Onboarding,Low,20.3,0
2025-01-28,TKT-50193,Onboarding,Medium,9.8,0
2025-01-28,TKT-50194,Billing,Medium,6.5,0
2025-01-28,TKT-50195,Data,High,10.1,0
2025-01-29,TKT-50196,Platform,High,0.9,1
2025-01-29,TKT-50197,Platform,High,8.5,0
2025-01-29,TKT-50198,Platform,Low,15.2,1
2025-01-30,TKT-50199,Onboarding,Low,8.5,0
2025-01-30,TKT-50200,Billing,Urgent,12.8,0
2025-01-30,TKT-50201,Billing,High,32.5,0
2025-01-30,TKT-50202,Platform,Medium,20.1,0
2025-01-30,TKT-50203,Onboarding,Low,3.7,0
2025-01-30,TKT-50204,Data,Urgent,4.0,0
2025-01-30,TKT-50205,Platform,High,8.2,0
2025-01-30,TKT-50206,Platform,Low,3.8,0
2025-01-30,TKT-50207,Data,Low,18.6,0
2025-01-30,TKT-50208,Data,Urgent,5.9,0
2025-01-31,TKT-50209,Onboarding,Low,24.3,0
2025-01-31,TKT-50210,Onboarding,Low,10.2,0
2025-01-31,TKT-50211,Data,Urgent,14.8,0
2025-02-01,TKT-50212,Platform,Low,18.3,0
2025-02-01,TKT-50213,Platform,Low,13.9,0
2025-02-01,TKT-50214,Platform,High,9.6,0
2025-02-01,TKT-50215,Billing,Medium,25.7,0
2025-02-01,TKT-50216,Billing,Urgent,0.8,0
2025-02-01,TKT-50217,Onboarding,High,8.6,0
2025-02-01,TKT-50218,Platform,High,15.7,0
2025-02-02,TKT-50219,Billing,Medium,13.6,0
2025-02-02,TKT-50220,Platform,Low,4.1,0
2025-02-02,TKT-50221,Data,High,14.0,0
2025-02-02,TKT-50222,Billing,Low,18.4,0
2025-02-02,TKT-50223,Onboarding,Medium,19.6,0
2025-02-02,TKT-50224,Onboarding,Low,4.1,0
2025-02-03,TKT-50225,Onboarding,Medium,10.3,0
2025-02-03,TKT-50226,Billing,Medium,18.9,0
2025-02-03,TKT-50227,Onboarding,Low,14.4,0
2025-02-03,TKT-50228,Billing,Medium,12.5,0
2025-02-03,TKT-50229,Billing,Medium,28.0,0
2025-02-03,TKT-50230,Billing,Urgent,6.4,0
2025-02-04,TKT-50231,Data,Low,9.5,0
2025-02-04,TKT-50232,Platform,Medium,21.4,0
2025-02-04,TKT-50233,Data,Medium,8.8,0
2025-02-04,TKT-50234,Platform,Low,17.4,1
2025-02-04,TKT-50235,Billing,Medium,10.9,0
2025-02-04,TKT-50236,Billing,High,9.8,0
2025-02-04,TKT-50237,Data,Low,7.1,0
2025-02-04,TKT-50238,Platform,Medium,6.3,0
2025-02-04,TKT-50239,Platform,Low,5.3,0
2025-02-04,TKT-50240,Data,High,9.4,0
2025-02-04,TKT-50241,Platform,Medium,14.0,0
2025-02-04,TKT-50242,Onboarding,Medium,14.6,0
2025-02-05,TKT-50243,Platform,Medium,8.6,0
2025-02-05,TKT-50244,Billing,High,15.2,0
2025-02-06,TKT-50245,Billing,Low,9.3,0
2025-02-06,TKT-50246,Billing,Medium,34.0,0
2025-02-06,TKT-50247,Data,High,4.9,0
2025-02-06,TKT-50248,Billing,Urgent,8.7,0
2025-02-06,TKT-50249,Onboarding,Low,3.8,0
2025-02-07,TKT-50250,Billing,High,12.9,0
2025-02-07,TKT-50251,Billing,Medium,34.4,0
2025-02-07,TKT-50252,Data,Low,10.4,0
2025-02-07,TKT-50253,Platform,Low,12.1,0
2025-02-07,TKT-50254,Billing,Low,12.5,0
2025-02-07,TKT-50255,Onboarding,High,12.2,0
2025-02-07,TKT-50256,Billing,Medium,14.5,0
2025-02-07,TKT-50257,Data,Urgent,15.6,0
2025-02-08,TKT-50258,Onboarding,Medium,32.0,0
2025-02-08,TKT-50259,Platform,Medium,15.0,1
2025-02-08,TKT-50260,Data,Low,16.1,1
2025-02-08,TKT-50261,Billing,High,20.2,0
2025-02-08,TKT-50262,Platform,Medium,4.4,0
2025-02-08,TKT-50263,Billing,Medium,2.3,0
2025-02-08,TKT-50264,Platform,Low,10.5,0
2025-02-08,TKT-50265,Onboarding,Low,14.4,0
2025-02-09,TKT-50266,Platform,Medium,22.8,1
2025-02-09,TKT-50267,Platform,High,11.0,0
2025-02-09,TKT-50268,Onboarding,High,41.6,0
2025-02-09,TKT-50269,Platform,Medium,23.5,1
2025-02-09,TKT-50270,Platform,Low,34.3,0
2025-02-09,TKT-50271,Platform,Low,14.9,0
2025-02-09,TKT-50272,Data,Medium,2.1,0
2025-02-09,TKT-50273,Billing,Low,9.7,0
2025-02-09,TKT-50274,Billing,Low,7.3,0
2025-02-09,TKT-50275,Billing,Medium,7.6,0
2025-02-10,TKT-50276,Platform,High,14.6,0
2025-02-10,TKT-50277,Billing,Medium,3.2,0
2025-02-10,TKT-50278,Billing,Medium,7.8,0
2025-02-10,TKT-50279,Data,Urgent,21.7,0
2025-02-10,TKT-50280,Platform,Low,7.2,0
2025-02-11,TKT-50281,Platform,Medium,19.2,0
2025-02-11,TKT-50282,Billing,Low,10.4,1
2025-02-11,TKT-50283,Platform,Low,7.7,0
2025-02-11,TKT-50284,Data,Low,3.8,0
2025-02-11,TKT-50285,Data,Low,12.3,0
2025-02-11,TKT-50286,Platform,Low,20.0,0
2025-02-11,TKT-50287,Billing,Low,12.4,0
2025-02-11,TKT-50288,Onboarding,High,37.2,0
2025-02-11,TKT-50289,Platform,Low,14.4,0
2025-02-11,TKT-50290,Platform,Low,8.7,0
2025-02-11,TKT-50291,Platform,Medium,33.3,0
2025-02-12,TKT-50292,Platform,Medium,11.4,0
2025-02-12,TKT-50293,Platform,Medium,23.4,1
2025-02-12,TKT-50294,Data,Medium,16.4,0
2025-02-12,TKT-50295,Onboarding,Medium,4.8,0
2025-02-12,TKT-50296,Platform,Medium,5.5,1
2025-02-12,TKT-50297,Onboarding,Medium,22.2,0
2025-02-12,TKT-50298,Billing,Low,13.8,0
2025-02-13,TKT-50299,Billing,Medium,6.9,0
2025-02-13,TKT-50300,Onboarding,Medium,26.4,0
2025-02-13,TKT-50301,Billing,Medium,3.8,1
2025-02-13,TKT-50302,Platform,Medium,15.5,0
2025-02-14,TKT-50303,Platform,Low,8.7,0
2025-02-14,TKT-50304,Platform,Low,6.2,0
2025-02-14,TKT-50305,Data,Urgent,17.7,0
2025-02-14,TKT-50306,Billing,Medium,10.4,0
2025-02-14,TKT-50307,Billing,Urgent,3.1,1
2025-02-14,TKT-50308,Platform,Low,11.4,0
2025-02-14,TKT-50309,Platform,High,12.1,0
2025-02-15,TKT-50310,Platform,Low,18.2,0
2025-02-15,TKT-50311,Billing,Medium,18.4,0
2025-02-15,TKT-50312,Billing,High,22.5,0
2025-02-15,TKT-50313,Data,Low,17.8,0
2025-02-16,TKT-50314,Billing,Medium,27.5,0
2025-02-16,TKT-50315,Platform,High,29.2,0
2025-02-16,TKT-50316,Platform,Low,6.6,0
2025-02-16,TKT-50317,Platform,Low,33.2,0
2025-02-16,TKT-50318,Onboarding,Low,6.4,0
2025-02-16,TKT-50319,Platform,Medium,18.8,0
2025-02-16,TKT-50320,Onboarding,Low,3.0,0
2025-02-16,TKT-50321,Onboarding,Urgent,10.0,0
2025-02-17,TKT-50322,Onboarding,Urgent,14.8,0
2025-02-17,TKT-50323,Platform,Low,14.7,0
2025-02-17,TKT-50324,Onboarding,Medium,7.0,0
2025-02-17,TKT-50325,Platform,Medium,9.7,0
2025-02-17,TKT-50326,Billing,High,4.7,0
2025-02-18,TKT-50327,Onboarding,Medium,15.5,0
2025-02-18,TKT-50328,Billing,Medium,14.5,0
2025-02-18,TKT-50329,Billing,Low,9.2,0
2025-02-18,TKT-50330,Billing,High,6.6,0
2025-02-18,TKT-50331,Billing,Medium,8.9,0
2025-02-18,TKT-50332,Data,Medium,22.0,1
2025-02-18,TKT-50333,Onboarding,Medium,23.4,1
2025-02-18,TKT-50334,Onboarding,Urgent,22.4,0
2025-02-18,TKT-50335,Billing,Low,3.6,0
2025-02-19,TKT-50336,Billing,Low,15.3,0
2025-02-19,TKT-50337,Platform,Low,13.3,0
2025-02-19,TKT-50338,Onboarding,Low,2.9,0
2025-02-19,TKT-50339,Billing,Low,8.4,0
2025-02-19,TKT-50340,Onboarding,Urgent,13.9,0
2025-02-19,TKT-50341,Platform,Low,14.6,0
2025-02-19,TKT-50342,Platform,Medium,13.6,0
2025-02-20,TKT-50343,Data,Low,11.5,0
2025-02-20,TKT-50344,Platform,High,3.1,0
2025-02-20,TKT-50345,Onboarding,Medium,7.2,0
2025-02-20,TKT-50346,Onboarding,Low,6.7,0
2025-02-20,TKT-50347,Platform,Medium,15.1,0
2025-02-20,TKT-50348,Data,Medium,50.9,0
2025-02-20,TKT-50349,Billing,Medium,2.2,0
2025-02-20,TKT-50350,Billing,Low,21.8,0
2025-02-20,TKT-50351,Onboarding,Low,2.1,0
2025-02-20,TKT-50352,Billing,Medium,11.3,0
2025-02-20,TKT-50353,Onboarding,Low,1.2,0
2025-02-21,TKT-50354,Billing,Low,26.2,0
2025-02-21,TKT-50355,Platform,Low,12.3,0
2025-02-21,TKT-50356,Data,Low,27.6,0
2025-02-21,TKT-50357,Platform,Low,7.4,0
2025-02-21,TKT-50358,Platform,Medium,10.0,0
2025-02-21,TKT-50359,Billing,High,14.0,0
2025-02-21,TKT-50360,Platform,Low,14.0,0
2025-02-22,TKT-50361,Data,Medium,20.9,0
2025-02-22,TKT-50362,Data,Medium,11.3,1
2025-02-22,TKT-50363,Billing,Medium,7.4,0
2025-02-22,TKT-50364,Onboarding,Urgent,3.5,0
2025-02-22,TKT-50365,Data,High,19.5,0
2025-02-22,TKT-50366,Onboarding,High,13.0,0
2025-02-22,TKT-50367,Data,Urgent,19.5,0
2025-02-22,TKT-50368,Platform,High,9.3,0
2025-02-22,TKT-50369,Platform,Low,41.5,0
2025-02-23,TKT-50370,Billing,Low,5.9,0
2025-02-23,TKT-50371,Billing,Medium,26.2,1
2025-02-23,TKT-50372,Billing,Low,16.9,0
2025-02-23,TKT-50373,Data,High,21.8,0
2025-02-23,TKT-50374,Data,High,18.8,0
2025-02-24,TKT-50375,Onboarding,Low,10.1,0
2025-02-24,TKT-50376,Billing,Medium,14.6,0
2025-02-24,TKT-50377,Data,Low,10.5,0
2025-02-24,TKT-50378,Billing,Low,10.1,1
2025-02-24,TKT-50379,Onboarding,Low,7.2,0
2025-02-24,TKT-50380,Data,Low,19.3,0
2025-02-25,TKT-50381,Billing,Medium,24.5,1
2025-02-25,TKT-50382,Billing,Low,16.7,0
2025-02-25,TKT-50383,Billing,Low,36.6,0
2025-02-25,TKT-50384,Platform,Low,7.3,0
2025-02-26,TKT-50385,Platform,Medium,6.1,0
2025-02-26,TKT-50386,Platform,Low,2.1,0
2025-02-26,TKT-50387,Onboarding,Medium,19.1,0
2025-02-26,TKT-50388,Platform,Low,5.1,1
2025-02-26,TKT-50389,Data,Low,24.7,1
2025-02-26,TKT-50390,Onboarding,Urgent,5.9,0
2025-02-26,TKT-50391,Onboarding,Medium,27.9,0
2025-02-26,TKT-50392,Platform,Medium,3.5,0
2025-02-26,TKT-50393,Onboarding,High,1.4,0
2025-02-27,TKT-50394,Onboarding,Low,6.0,0
2025-02-27,TKT-50395,Platform,Low,15.4,0
2025-02-27,TKT-50396,Platform,Low,38.3,0
2025-02-27,TKT-50397,Billing,High,13.6,0
2025-02-27,TKT-50398,Platform,High,20.1,0
2025-02-27,TKT-50399,Onboarding,High,20.1,0
2025-02-27,TKT-50400,Billing,Medium,18.3,0
2025-02-27,TKT-50401,Onboarding,Low,16.5,0
2025-02-27,TKT-50402,Data,Low,26.9,0
2025-02-28,TKT-50403,Onboarding,Medium,26.3,1
2025-02-28,TKT-50404,Billing,Low,16.1,0
2025-02-28,TKT-50405,Billing,High,2.0,0
2025-02-28,TKT-50406,Platform,Urgent,7.0,0
2025-02-28,TKT-50407,Data,Low,8.0,0
2025-02-28,TKT-50408,Platform,Low,8.7,1
2025-03-01,TKT-50409,Platform,Low,8.9,0
2025-03-01,TKT-50410,Billing,Low,31.5,0
2025-03-01,TKT-50411,Data,Medium,25.0,0
2025-03-01,TKT-50412,Platform,High,16.9,0
2025-03-01,TKT-50413,Platform,Low,7.0,1
2025-03-02,TKT-50414,Onboarding,Low,7.2,0
2025-03-02,TKT-50415,Onboarding,Low,5.5,0
2025-03-02,TKT-50416,Onboarding,Low,28.8,0
2025-03-02,TKT-50417,Onboarding,Low,2.9,0
2025-03-02,TKT-50418,Billing,Medium,7.7,0
2025-03-02,TKT-50419,Onboarding,Low,47.4,0
2025-03-03,TKT-50420,Platform,Low,6.7,1
2025-03-03,TKT-50421,Platform,Low,8.5,0
2025-03-03,TKT-50422,Billing,Low,12.0,0
2025-03-03,TKT-50423,Platform,High,50.8,0
2025-03-03,TKT-50424,Onboarding,Medium,8.3,0
2025-03-03,TKT-50425,Data,Medium,20.7,0
2025-03-03,TKT-50426,Billing,High,28.0,0
2025-03-03,TKT-50427,Platform,Medium,35.0,0
2025-03-03,TKT-50428,Onboarding,Medium,4.2,0
2025-03-03,TKT-50429,Billing,Low,48.2,0
2025-03-03,TKT-50430,Onboarding,Urgent,5.3,0
2025-03-04,TKT-50431,Billing,High,6.3,0
2025-03-04,TKT-50432,Data,High,9.4,0
2025-03-04,TKT-50433,Platform,Low,7.4,0
2025-03-04,TKT-50434,Platform,Low,10.9,0
2025-03-04,TKT-50435,Platform,Medium,5.2,0
2025-03-05,TKT-50436,Billing,High,8.0,0
2025-03-05,TKT-50437,Onboarding,Medium,22.8,0
2025-03-05,TKT-50438,Billing,Low,2.8,0
2025-03-05,TKT-50439,Platform,Low,15.1,0
2025-03-05,TKT-50440,Billing,Medium,15.9,1
2025-03-05,TKT-50441,Platform,Medium,9.7,0
2025-03-05,TKT-50442,Data,Low,33.4,0
2025-03-05,TKT-50443,Platform,Medium,23.7,0
2025-03-05,TKT-50444,Platform,Urgent,17.6,0
2025-03-05,TKT-50445,Platform,Low,19.9,0
2025-03-05,TKT-50446,Data,High,30.4,0
2025-03-05,TKT-50447,Platform,Medium,2.1,0
2025-03-05,TKT-50448,Billing,High,14.3,0
2025-03-06,TKT-50449,Onboarding,High,16.1,0
2025-03-06,TKT-50450,Onboarding,Urgent,23.1,0
2025-03-06,TKT-50451,Platform,High,3.2,0
2025-03-06,TKT-50452,Platform,Low,5.1,1
2025-03-06,TKT-50453,Platform,Medium,8.7,0
2025-03-06,TKT-50454,Onboarding,Low,22.7,0
2025-03-06,TKT-50455,Billing,High,8.3,0
2025-03-06,TKT-50456,Platform,High,15.7,0
2025-03-07,TKT-50457,Data,High,5.7,0
2025-03-07,TKT-50458,Platform,Medium,38.5,1
2025-03-07,TKT-50459,Platform,Urgent,10.8,0
2025-03-07,TKT-50460,Platform,High,8.2,1
2025-03-07,TKT-50461,Billing,Low,9.5,0
2025-03-07,TKT-50462,Platform,Low,13.7,0
2025-03-08,TKT-50463,Billing,Low,19.8,0
2025-03-08,TKT-50464,Data,Urgent,2.4,0
2025-03-08,TKT-50465,Data,Medium,1.1,0
2025-03-08,TKT-50466,Onboarding,Medium,8.1,0
2025-03-08,TKT-50467,Onboarding,Medium,9.7,0
2025-03-08,TKT-50468,Data,Low,8.9,1
2025-03-08,TKT-50469,Data,Medium,0.9,0
2025-03-08,TKT-50470,Platform,Medium,6.5,0
2025-03-09,TKT-50471,Onboarding,Medium,14.5,0
2025-03-09,TKT-50472,Data,Low,6.7,0
2025-03-09,TKT-50473,Onboarding,Low,8.8,0
2025-03-09,TKT-50474,Billing,Low,23.6,0
2025-03-09,TKT-50475,Platform,Low,12.4,0
2025-03-09,TKT-50476,Onboarding,Low,14.6,1
2025-03-10,TKT-50477,Data,Medium,10.1,0
2025-03-10,TKT-50478,Billing,Medium,3.2,0
2025-03-10,TKT-50479,Data,Medium,11.8,0
2025-03-10,TKT-50480,Platform,Medium,8.0,0
2025-03-10,TKT-50481,Onboarding,Low,16.8,0
2025-03-10,TKT-50482,Billing,Low,5.3,0
2025-03-10,TKT-50483,Billing,High,35.5,1
2025-03-10,TKT-50484,Platform,High,19.6,1
2025-03-10,TKT-50485,Data,High,6.1,0
2025-03-10,TKT-50486,Platform,Low,8.5,1
2025-03-10,TKT-50487,Platform,Low,8.2,0
2025-03-10,TKT-50488,Billing,Low,7.9,0
2025-03-11,TKT-50489,Platform,High,12.7,0
2025-03-11,TKT-50490,Onboarding,Low,13.1,1
2025-03-11,TKT-50491,Platform,High,37.4,0
2025-03-11,TKT-50492,Onboarding,Low,19.2,0
2025-03-11,TKT-50493,Onboarding,Low,11.3,0
2025-03-11,TKT-50494,Platform,Medium,15.4,0
2025-03-11,TKT-50495,Platform,Medium,24.0,0
2025-03-12,TKT-50496,Platform,Urgent,3.8,0
2025-03-12,TKT-50497,Billing,Low,6.9,0
2025-03-12,TKT-50498,Data,Medium,10.7,0
2025-03-12,TKT-50499,Billing,Medium,6.9,0
2025-03-12,TKT-50500,Onboarding,Low,31.0,0
2025-03-12,TKT-50501,Data,Low,23.9,0
2025-03-12,TKT-50502,Billing,Low,21.9,1
2025-03-12,TKT-50503,Onboarding,High,17.0,0
