Order Date,Order ID,Category,Channel,Units,Revenue
2024-07-29,SO-700403,Electronics,Web,2,65.32
2024-07-29,SO-700404,Apparel,Web,1,46.38
2024-07-30,SO-700405,Electronics,Web,3,256.44
2024-07-30,SO-700406,Electronics,Web,3,256.23
2024-07-30,SO-700407,Home,Marketplace,2,185.32
2024-07-30,SO-700408,Electronics,Web,1,48.86
2024-07-31,SO-700409,Apparel,Web,1,31.07
2024-07-31,SO-700410,Electronics,Web,2,226.68
2024-07-31,SO-700411,Electronics,Retail,1,72.63
2024-07-31,SO-700412,Outdoor,Marketplace,-3,-237.24
2024-07-31,SO-700413,Electronics,Web,3,229.38
2024-08-01,SO-700414,Apparel,Marketplace,1,41.52
2024-08-02,SO-700415,Electronics,Retail,3,265.32
2024-08-02,SO-700416,Home,Marketplace,-2,-115.96
2024-08-02,SO-700417,Home,Web,4,352.0
2024-08-02,SO-700418,Apparel,Web,-2,-41.86
2024-08-02,SO-700419,Apparel,Retail,5,314.6
2024-08-02,SO-700420,Electronics,Retail,5,334.9
2024-08-03,SO-700421,Apparel,Retail,3,324.3
2024-08-03,SO-700422,Apparel,Marketplace,1,55.67
2024-08-03,SO-700423,Outdoor,Web,5,637.05
2024-08-03,SO-700424,Electronics,Marketplace,5,135.6
2024-08-03,SO-700425,Home,Marketplace,1,24.01
2024-08-03,SO-700426,Home,Web,2,185.32
2024-08-04,SO-700427,Home,Marketplace,5,114.25
2024-08-04,SO-700428,Apparel,Web,1,75.27
2024-08-04,SO-700429,Home,Marketplace,2,114.9
2024-08-04,SO-700430,Apparel,Web,2,128.14
2024-08-04,SO-700431,Home,Marketplace,3,175.14
2024-08-04,SO-700432,Home,Web,3,66.0
2024-08-04,SO-700433,Home,Web,3,418.47
2024-08-04,SO-700434,Electronics,Web,1,186.23
2024-08-05,SO-700435,Apparel,Marketplace,5,1027.4
2024-08-05,SO-700436,Electronics,Web,1,36.16
2024-08-05,SO-700437,Apparel,Marketplace,1,28.38
2024-08-06,SO-700438,Apparel,Web,2,156.06
2024-08-06,SO-700439,Home,Web,4,191.16
2024-08-06,SO-700440,Home,Web,1,147.19
2024-08-06,SO-700441,Electronics,Retail,5,131.9
2024-08-06,SO-700442,Apparel,Web,4,328.52
2024-08-06,SO-700443,Home,Retail,5,304.4
2024-08-07,SO-700444,Electronics,Retail,3,91.89
2024-08-07,SO-700445,Outdoor,Web,4,441.44
2024-08-07,SO-700446,Home,Marketplace,4,227.48
2024-08-08,SO-700447,Outdoor,Web,1,27.83
2024-08-08,SO-700448,Outdoor,Marketplace,5,107.85
2024-08-08,SO-700449,Apparel,Web,1,52.05
2024-08-08,SO-700450,Electronics,Retail,1,76.76
2024-08-08,SO-700451,Apparel,Retail,4,143.44
2024-08-08,SO-700452,Electronics,Marketplace,2,56.9
2024-08-08,SO-700453,Outdoor,Marketplace,4,364.8
2024-08-08,SO-700454,Electronics,Web,-2,-86.74
2024-08-09,SO-700455,Home,Retail,5,418.45
2024-08-09,SO-700456,Apparel,Retail,5,413.8
2024-08-09,SO-700457,Apparel,Web,5,583.6
2024-08-09,SO-700458,Electronics,Marketplace,1,87.26
2024-08-09,SO-700459,Home,Marketplace,1,72.12
2024-08-10,SO-700460,Home,Marketplace,2,312.8
2024-08-10,SO-700461,Outdoor,Retail,-5,-156.65
2024-08-10,SO-700462,Apparel,Web,5,275.5
2024-08-10,SO-700463,Electronics,Retail,3,70.08
2024-08-10,SO-700464,Apparel,Web,4,285.92
2024-08-10,SO-700465,Home,Web,2,29.9
2024-08-10,SO-700466,Outdoor,Web,3,69.96
2024-08-10,SO-700467,Electronics,Web,5,546.65
2024-08-11,SO-700468,Electronics,Web,2,116.12
2024-08-11,SO-700469,Electronics,Web,-1,-110.2
2024-08-11,SO-700470,Apparel,Web,5,258.55
2024-08-11,SO-700471,Outdoor,Web,2,130.54
2024-08-11,SO-700472,Electronics,Marketplace,2,301.5
2024-08-11,SO-700473,Apparel,Web,5,628.7
2024-08-11,SO-700474,Electronics,Web,3,375.84
2024-08-11,SO-700475,Outdoor,Marketplace,1,27.98
2024-08-11,SO-700476,Home,Marketplace,2,173.26
2024-08-11,SO-700477,Outdoor,Retail,5,225.9
2024-08-11,SO-700478,Electronics,Web,3,226.98
2024-08-11,SO-700479,Home,Web,4,342.04
2024-08-11,SO-700480,Electronics,Marketplace,4,322.04
2024-08-11,SO-700481,Electronics,Web,3,361.95
2024-08-12,SO-700482,Apparel,Retail,4,258.16
2024-08-12,SO-700483,Home,Web,3,95.79
2024-08-12,SO-700484,Outdoor,Web,-4,-271.6
2024-08-12,SO-700485,Electronics,Marketplace,-5,-621.35
2024-08-12,SO-700486,Apparel,Web,5,203.0
2024-08-12,SO-700487,Home,Web,5,396.05
2024-08-13,SO-700488,Home,Marketplace,1,180.08
2024-08-13,SO-700489,Apparel,Retail,1,43.8
2024-08-13,SO-700490,Apparel,Retail,3,168.09
2024-08-13,SO-700491,Electronics,Retail,4,277.24
2024-08-13,SO-700492,Apparel,Marketplace,4,454.88
2024-08-13,SO-700493,Home,Web,1,50.8
2024-08-13,SO-700494,Home,Web,2,76.84
2024-08-13,SO-700495,Apparel,Web,5,586.6
2024-08-13,SO-700496,Apparel,Web,5,142.55
2024-08-14,SO-700497,Apparel,Web,4,229.64
2024-08-14,SO-700498,Electronics,Retail,2,118.66
2024-08-14,SO-700499,Apparel,Web,5,486.1
2024-08-14,SO-700500,Home,Marketplace,2,66.8
