Month,Plan,Region,Accounts,MRR,Churn Rate
2024-07-01,Enterprise,EMEA,51,45662.97,0.0311
2024-07-01,Enterprise,APAC,28,23811.86,0.0395
2024-08-01,Starter,North America,10,9728.5,0.0407
2024-08-01,Starter,EMEA,6,6498.23,0.0277
2024-08-01,Starter,APAC,3,3317.98,0.0413
2024-08-01,Growth,North America,31,32730.7,0.0348
2024-08-01,Growth,EMEA,21,19221.77,0.0367
2024-08-01,Growth,APAC,11,9629.87,0.0333
2024-08-01,Enterprise,North America,77,71314.37,0.0314
2024-08-01,Enterprise,EMEA,52,50280.52,0.0337
2024-08-01,Enterprise,APAC,27,26085.64,0.0333
2024-09-01,Starter,North America,10,10058.27,0.0211
2024-09-01,Starter,EMEA,7,6964.49,0.0338
2024-09-01,Starter,APAC,3,3718.71,0.0233
2024-09-01,Growth,North America,35,29623.01,0.0199
2024-09-01,Growth,EMEA,20,19811.58,0.0257
2024-09-01,Growth,APAC,12,10007.05,0.0349
2024-09-01,Enterprise,North America,80,80520.23,0.0392
2024-09-01,Enterprise,EMEA,51,46734.54,0.0329
2024-09-01,Enterprise,APAC,28,25044.23,0.0398
2024-10-01,Starter,North America,11,9440.83,0.033
2024-10-01,Starter,EMEA,7,6948.24,0.0358
2024-10-01,Starter,APAC,4,3652.43,0.032
2024-10-01,Growth,North America,35,30264.17,0.0244
2024-10-01,Growth,EMEA,22,17491.04,0.0275
2024-10-01,Growth,APAC,11,11041.96,0.0245
2024-10-01,Enterprise,North America,85,75551.14,0.0414
2024-10-01,Enterprise,EMEA,51,46797.89,0.0312
2024-10-01,Enterprise,APAC,26,24368.48,0.0425
2024-11-01,Starter,North America,12,10974.89,0.0397
2024-11-01,Starter,EMEA,7,6668.98,0.0286
2024-11-01,Starter,APAC,3,3921.88,0.0295
2024-11-01,Growth,North America,36,32731.52,0.0259
2024-11-01,Growth,EMEA,20,20896.62,0.0484
2024-11-01,Growth,APAC,13,11160.1,0.0236
2024-11-01,Enterprise,North America,87,80108.59,0.03
2024-11-01,Enterprise,EMEA,56,45807.5,0.0395
2024-11-01,Enterprise,APAC,29,25766.05,0.0287
2024-12-01,Starter,North America,12,11668.0,0.0316
2024-12-01,Starter,EMEA,7,7915.37,0.0179
2024-12-01,Starter,APAC,3,3813.8,0.0233
2024-12-01,Growth,North America,38,30831.59,0.0321
2024-12-01,Growth,EMEA,25,22567.52,0.0222
2024-12-01,Growth,APAC,12,12220.26,0.0456
2024-12-01,Enterprise,North America,84,75969.49,0.0399
2024-12-01,Enterprise,EMEA,54,46586.73,0.0394
2024-12-01,Enterprise,APAC,27,26107.47,0.0387
2025-01-01,Starter,North America,12,11926.16,0.0212
2025-01-01,Starter,EMEA,8,7270.5,0.044
2025-01-01,Starter,APAC,4,3795.19,0.0302
2025-01-01,Growth,North America,40,33327.26,0.0299
2025-01-01,Growth,EMEA,26,22639.07,0.0368
2025-01-01,Growth,APAC,12,12472.45,0.0217
2025-01-01,Enterprise,North America,84,77210.22,0.0423
2025-01-01,Enterprise,EMEA,56,47895.68,0.0281
2025-01-01,Enterprise,APAC,31,29797.37,0.0179
2025-02-01,Starter,North America,13,12300.53,0.0254
2025-02-01,Starter,EMEA,7,7435.29,0.0287
2025-02-01,Starter,APAC,4,3708.91,0.0164
2025-02-01,Growth,North America,44,35998.66,0.0328
2025-02-01,Growth,EMEA,25,23863.28,0.0384
2025-02-01,Growth,APAC,12,12033.36,0.0316
2025-02-01,Enterprise,North America,96,80590.9,0.0341
2025-02-01,Enterprise,EMEA,58,56123.74,0.0101
2025-02-01,Enterprise,APAC,31,29003.35,0.0364
2025-03-01,Starter,North America,13,11281.45,0.0364
2025-03-01,Starter,EMEA,8,6988.99,0.0201
2025-03-01,Starter,APAC,4,3826.31,0.0362
2025-03-01,Growth,North America,43,36762.34,0.0328
2025-03-01,Growth,EMEA,25,24386.5,0.0422
2025-03-01,Growth,APAC,13,12896.51,0.0314
2025-03-01,Enterprise,North America,92,89123.43,0.0303
2025-03-01,Enterprise,EMEA,56,48074.22,0.0389
2025-03-01,Enterprise,APAC,30,27036.71,0.0289
2025-04-01,Starter,North America,13,6734.27,0.0582
2025-04-01,Starter,EMEA,8,4318.19,0.0353
2025-04-01,Starter,APAC,4,2850.78,0.0468
2025-04-01,Growth,North America,43,24281.97,0.0295
2025-04-01,Growth,EMEA,25,15091.84,0.0436
2025-04-01,Growth,APAC,14,7308.31,0.031
2025-04-01,Enterprise,North America,94,56047.35,0.0451
2025-04-01,Enterprise,EMEA,62,30337.02,0.0425
2025-04-01,Enterprise,APAC,35,15635.29,0.0541
2025-05-01,Starter,North America,13,11807.32,0.0284
2025-05-01,Starter,EMEA,7,8088.95,0.0357
2025-05-01,Starter,APAC,4,4243.47,0.0235
2025-05-01,Growth,North America,43,34767.55,0.0237
2025-05-01,Growth,EMEA,28,24953.16,0.0346
2025-05-01,Growth,APAC,15,12631.29,0.0358
2025-05-01,Enterprise,North America,94,86937.98,0.0318
2025-05-01,Enterprise,EMEA,65,52704.55,0.0395
2025-05-01,Enterprise,APAC,33,26978.88,0.0156
2025-06-01,Starter,North America,13,13423.01,0.0332
2025-06-01,Starter,EMEA,9,7903.52,0.0425
2025-06-01,Starter,APAC,4,4052.48,0.0368
2025-06-01,Growth,North America,41,35298.76,0.0251
2025-06-01,Growth,EMEA,26,24276.09,0.0379
2025-06-01,Growth,APAC,15,14766.71,0.0154
2025-06-01,Enterprise,North America,99,104607.0,0.0286
2025-06-01,Enterprise,EMEA,58,53577.98,0.0233
2025-06-01,Enterprise,APAC,33,33987.86,0.0199
2025-07-01,Starter,North America,13,13952.15,0.0336
2025-07-01,Starter,EMEA,9,7789.96,0.0387
2025-07-01,Starter,APAC,4,4623.09,0.0322
2025-07-01,Growth,North America,43,38061.29,0.0388
2025-07-01,Growth,EMEA,27,23809.87,0.0321
2025-07-01,Growth,APAC,14,14402.96,0.0423
2025-07-01,Enterprise,North America,108,93908.37,0.0353
2025-07-01,Enterprise,EMEA,59,55971.85,0.0293
2025-07-01,Enterprise,APAC,34,32581.2,0.0277
2025-08-01,Starter,North America,14,14058.89,0.0288
2025-08-01,Starter,EMEA,8,7144.25,0.0203
2025-08-01,Starter,APAC,4,4529.33,0.0169
2025-08-01,Growth,North America,44,40874.13,0.0271
2025-08-01,Growth,EMEA,27,26949.59,0.0252
2025-08-01,Growth,APAC,13,13314.82,0.0241
2025-08-01,Enterprise,North America,104,97936.53,0.0383
2025-08-01,Enterprise,EMEA,65,63184.5,0.034
2025-08-01,Enterprise,APAC,37,32632.94,0.0333
2025-09-01,Starter,North America,14,13345.53,0.0265
2025-09-01,Starter,EMEA,9,8308.67,0.0404
2025-09-01,Starter,APAC,4,4705.44,0.0212
2025-09-01,Growth,North America,44,43932.21,0.0339
2025-09-01,Growth,EMEA,25,25255.78,0.0291
2025-09-01,Growth,APAC,14,12411.62,0.0235
2025-09-01,Enterprise,North America,100,99841.55,0.0357
2025-09-01,Enterprise,EMEA,68,63208.17,0.0137
2025-09-01,Enterprise,APAC,35,33216.84,0.0257
2025-10-01,Starter,North America,14,12928.77,0.0324
2025-10-01,Starter,EMEA,9,9040.26,0.0342
2025-10-01,Starter,APAC,5,4610.93,0.0248
2025-10-01,Growth,North America,46,43591.09,0.0349
2025-10-01,Growth,EMEA,27,23423.87,0.0367
2025-10-01,Growth,APAC,15,14372.2,0.0243
2025-10-01,Enterprise,North America,112,101723.26,0.0291
2025-10-01,Enterprise,EMEA,69,57139.52,0.0305
2025-10-01,Enterprise,APAC,33,32587.28,0.0509
2025-11-01,Starter,North America,15,15265.38,0.0359
2025-11-01,Starter,EMEA,9,8700.92,0.0282
2025-11-01,Starter,APAC,5,4504.65,0.0318
2025-11-01,Growth,North America,54,43674.95,0.0277
2025-11-01,Growth,EMEA,30,26975.43,0.0294
2025-11-01,Growth,APAC,15,14277.98,0.0279
2025-11-01,Enterprise,North America,110,101772.27,0.0338
2025-11-01,Enterprise,EMEA,65,63599.98,0.0347
2025-11-01,Enterprise,APAC,34,34477.7,0.0307
2025-12-01,Starter,North America,15,13166.48,0.0287
2025-12-01,Starter,EMEA,9,8081.72,0.0353
2025-12-01,Starter,APAC,5,4897.25,0.0232
2025-12-01,Growth,North America,44,40050.93,0.0137
2025-12-01,Growth,EMEA,28,27321.33,0.0429
2025-12-01,Growth,APAC,17,15808.57,0.0418
2025-12-01,Enterprise,North America,124,102340.42,0.0391
2025-12-01,Enterprise,EMEA,71,52933.23,0.0327
2025-12-01,Enterprise,APAC,38,35209.01,0.0273
